"11. If so, explain what factor(s) and how it affects your sleep ?","13. If so, what do you do to go back to sleep ?","15. What do you think about these activities' effect, is it positive or negative on your sleep ?","17. If you have difficulty falling asleep, what do you do to fall asleep ? (do you force yourself to sleep, listen to music/podcast or do other activities). Please explain","19. If you have any sleep disorders, what do you do to overcome it and to cope with it ?","20. If you use electronic devices (e.g., phone, TV, laptop, etc...)"
"['light', 'sound']","['get back to sleep', 'play games', 'watch videos']",negative,"{'play video games', 'watch YouTube', 'watch videos'}",no respond,5.0
['no respond'],['eat'],negative,{'do other activities'},"['do exercise', 'try to overcome']",9.0
['no respond'],no respond,no respond,['no respond'],no respond,5.0
['no respond'],no respond,no respond,['no respond'],no respond,5.0
['no respond'],no respond,no respond,['no respond'],no respond,1.0
['no respond'],no respond,no respond,['no respond'],no respond,1.5
['no respond'],['do nothing'],negative,['no respond'],no respond,3.5
['no respond'],no respond,negative,{'imagine'},['do nothing'],15.0
['no respond'],no respond,no respond,['no respond'],no respond,5.0
['stress'],"['change clothes', 'go to bed', 'sleep direction']",no respond,['no respond'],"['avoid computer devices', 'rest eyes']",0.5
['no respond'],no respond,no respond,['no respond'],no respond,5.0
['light'],no respond,no respond,{'use phone'},['do nothing'],5.0
['no respond'],['watch videos'],no respond,"{'watch YouTube', 'watch videos'}",no respond,5.0
['no respond'],no respond,no respond,['no respond'],no respond,5.0
['no respond'],"['listen to sounds', 'listen to white noise']",negative,{'prepare sleep environment'},no respond,5.0
['no respond'],no respond,no respond,['no respond'],no respond,0.0
['no respond'],no respond,no respond,{'wait'},no respond,0.0
['sound'],no respond,negative,{'listen to Quran'},no respond,0.0
